A1BG	A1BG	aa	0.036269	0.035903	0.1969	0.01173	0.011731
A1CF	A1CF	aa	-0.011506	0.008954	0.2292	-0.003339	0.002608
A2M	A2M	aa	0.11451	0.034651	0.0001646	0.052018	0.016722
A2ML1	A2ML1	aa	0.118156	0.039878	0.001595	0.016454	0.005877
A4GALT	A4GALT	aa	0.263863	0.0552	2.77e-07	0.094964	0.023687
A4GNT	A4GNT	aa	-0.012258	0.007399	0.1937	-0.008494	0.005158
AAAS	AAAS	aa	0.067415	0.036166	0.04753	0.009819	0.005408
AACS	AACS	aa	0.013842	0.022684	0.3181	0.005733	0.009405
AADAC	AADAC	aa	-0.010425	0.016799	0.3439	-0.00474	0.007647
AADACL2	AADACL2	aa	-0.023347	0.009194	0.09859	-0.015014	0.005995
AADAT	AADAT	aa	0.002456	0.013691	0.4478	0.000544	0.003033
AAGAB	AAGAB	aa	0.036182	0.036023	0.1737	0.005992	0.006017
AAK1	AAK1	aa	0.110857	0.044862	0.01206	0.033205	0.014182
AAMP	AAMP	aa	0.034132	0.024071	0.1061	0.006617	0.004717
AANAT	AANAT	aa	-0.028739	0.004088	0.04363	-0.004517	0.000691
AARS2	AARS2	aa	0.165337	0.041403	6.232e-06	0.031984	0.008643
AARS	AARS	aa	0.03752	0.022031	0.02124	0.008147	0.004874
AASDH	AASDH	aa	0.229394	0.039805	2.275e-12	0.03761	0.007574
AASDHPPT	AASDHPPT	aa	0.055799	0.024178	0.004047	0.00575	0.002556
AASS	AASS	aa	0.113878	0.041237	0.002639	0.073239	0.028212
ABAT	ABAT	aa	0.124817	0.036663	0.0004998	0.036938	0.011397
ABCA10	ABCA10	aa	0.235724	0.04967	1.837e-07	0.087732	0.021504
ABCA11P	ABCA11P	aa	0.030304	0.020046	0.06911	0.016458	0.011002
ABCA12	ABCA12	aa	0.178201	0.037398	1.92e-07	0.088809	0.020703
ABCA13	ABCA13	aa	-0.026401	0.007931	0.06648	-0.004966	0.001523
ABCA1	ABCA1	aa	-0.006561	0.020793	0.4183	-0.001704	0.005404
ABCA2	ABCA2	aa	0.009169	0.019456	0.3581	0.00064	0.00136
ABCA3	ABCA3	aa	0.03621	0.024078	0.07861	0.012656	0.008504
ABCA4	ABCA4	aa	-0.00275	0.016426	0.4541	-0.000442	0.002639
ABCA5	ABCA5	aa	0.226229	0.048833	4.191e-07	0.043703	0.010958
ABCA6	ABCA6	aa	0.113654	0.039662	0.00318	0.048937	0.017979
ABCA7	ABCA7	aa	0.190596	0.044802	7.203e-05	0.031692	0.008118
ABCA8	ABCA8	aa	-0.009153	0.017823	0.3705	-0.002355	0.00459
ABCA9	ABCA9	aa	0.142228	0.047093	0.00142	0.068696	0.024334
ABCB10	ABCB10	aa	0.187726	0.038214	4.2e-10	0.057101	0.013136
ABCB11	ABCB11	aa	0.041839	0.028849	0.1082	0.012617	0.008783
ABCB1	ABCB1	aa	0.028397	0.020304	0.06477	0.011638	0.008394
ABCB4	ABCB4	aa	0.226857	0.045182	4.13e-14	0.084389	0.020071
ABCB5	ABCB5	aa	0.018839	0.022675	0.2535	0.004242	0.005118
ABCB8	ABCB8	aa	-0.038244	0.014796	0.1126	-0.00422	0.001668
ABCB9	ABCB9	aa	-0.015752	9.2e-05	0.05346	-0.002948	0.000149
ABCC10	ABCC10	aa	0.104986	0.038363	0.002258	0.017216	0.00661
ABCC11	ABCC11	aa	0.051344	0.03397	0.05878	0.007728	0.005247
ABCC12	ABCC12	aa	-0.001778	0.007584	0.4392	-0.000244	0.001043
ABCC13	ABCC13	aa	-0.048637	0.001497	0.1317	-0.015962	0.000963
ABCC1	ABCC1	aa	0.093711	0.033474	0.001641	0.024695	0.009212
ABCC2	ABCC2	aa	0.054577	0.022764	0.00412	0.026245	0.011203
ABCC3	ABCC3	aa	-0.032949	0.008695	0.07395	-0.002255	0.000612
ABCC4	ABCC4	aa	0.147808	0.037914	4.876e-05	0.035979	0.009851
ABCC5	ABCC5	aa	0.101291	0.035921	0.002276	0.035465	0.013163
ABCC6	ABCC6	aa	-0.004142	0.020173	0.4443	-0.000377	0.001835
ABCC8	ABCC8	aa	-0.003664	0.010199	0.4076	-0.000322	0.000896
ABCC9	ABCC9	aa	0.004954	0.015197	0.4048	0.002055	0.006305
ABCD2	ABCD2	aa	0.097736	0.02925	3.578e-07	0.025735	0.008175
ABCD3	ABCD3	aa	0.123828	0.040284	0.001835	0.024654	0.008461
ABCD4	ABCD4	aa	0.29327	0.047549	1.943e-15	0.095916	0.019929
ABCE1	ABCE1	aa	0.021355	0.015985	0.09699	0.001855	0.001398
ABCF1	ABCF1	aa	0.194795	0.042862	1.281e-11	0.022859	0.005826
ABCF2	ABCF2	aa	0.165374	0.039647	4.612e-05	0.021753	0.005633
